Date,Open,High,Low,Close,Volume,Change,ChangeRatio,평균기온(℃),강수량(mm),Stock,강수량(mm)_log
2024-10-22,182708,183854,178887,179079,583865,-3629,-1.986229393,17.7,28.8,고구마켓 주식회사,3.394508394
2024-10-23,179461,181084,176309,177360,589968,-2101,-1.170727902,14.6,2.9,고구마켓 주식회사,1.360976553
2024-10-24,177359,178506,175927,177551,346678,192,0.108255008,12.8,2.625,고구마켓 주식회사,1.287854288
2024-10-25,177646,180225,174304,178029,615045,383,0.215597312,14.9,2.35,고구마켓 주식회사,1.208960346
2024-10-28,178314,180511,177741,179270,362571,956,0.536132889,16.3,2.3,고구마켓 주식회사,1.193922468
2024-10-29,179747,181466,178601,180607,371741,860,0.478450266,16.8,2.8,고구마켓 주식회사,1.335001067
2024-10-30,180034,180511,178792,179270,319628,-764,-0.424364287,15.8,3.3,고구마켓 주식회사,1.458615023
2024-10-31,178601,179079,174304,174304,553432,-4297,-2.405921579,16.3,3.8,고구마켓 주식회사,1.568615918
2024-11-01,172871,175163,172107,172967,349525,96,0.055532738,14.3,4.3,고구마켓 주식회사,1.667706821
2024-11-04,172966,178984,172202,178984,455592,6018,3.479296509,15.5,0.4,고구마켓 주식회사,0.336472237
2024-11-05,177264,179269,175162,176118,283848,-1146,-0.646493366,11.2,0.333333333,고구마켓 주식회사,0.287682072
2024-11-06,176404,177073,172106,176500,499024,96,0.054420535,9,0.266666667,고구마켓 주식회사,0.236388778
2024-11-07,175067,176404,169241,172107,630535,-2960,-1.690781244,8.9,0.2,고구마켓 주식회사,0.182321557
2024-11-08,174017,176405,172584,173349,451413,-668,-0.383870541,11.9,0.133333333,고구마켓 주식회사,0.125163143
2024-11-11,172011,172871,163320,166281,1051998,-5730,-3.331182308,14,0.05,고구마켓 주식회사,0.048790164
2024-11-12,164848,166280,158257,158449,1166173,-6399,-3.88175774,14.1,0.1,고구마켓 주식회사,0.09531018
2024-11-13,157589,160646,156634,157781,684558,192,0.121835915,14.2,0.15,고구마켓 주식회사,0.139761942
2024-11-14,158162,161601,158162,158927,626098,765,0.483681289,15.5,0.2,고구마켓 주식회사,0.182321557
2024-11-15,159977,160646,153101,157972,632125,-2005,-1.253305163,16.8,0.1,고구마켓 주식회사,0.09531018
2024-11-18,157684,165230,156156,164848,620706,7164,4.543263743,4.3,0.42,고구마켓 주식회사,0.350656872
2024-11-19,164274,166471,164083,164848,411427,574,0.349416219,5.8,0.28,고구마켓 주식회사,0.246860078
2024-11-20,164179,165325,161982,163702,355340,-477,-0.290536549,8.2,0.14,고구마켓 주식회사,0.131028262
2024-11-21,165230,169146,165039,165899,645841,669,0.404890153,10.6,0,고구마켓 주식회사,0
2024-11-22,166663,168573,165230,165708,364189,-955,-0.573012606,8.6,0,고구마켓 주식회사,0
2024-11-25,166185,170770,164944,168860,686387,2675,1.609651894,12.3,0.6,고구마켓 주식회사,0.470003629
2024-11-26,168860,170388,167140,167714,308889,-1146,-0.67866872,9.3,15.7,고구마켓 주식회사,2.815408719
2024-11-27,167236,170770,167236,169815,389940,2579,1.542132077,4,4.8,고구마켓 주식회사,1.757857918
2024-11-28,169719,178697,169242,178029,927969,8310,4.896328637,5.9,3.3,고구마켓 주식회사,1.458615023
2024-11-29,178697,179843,176978,178602,723056,-95,-0.053162616,3.3,4,고구마켓 주식회사,1.609437912
2024-12-02,180797,180988,175544,176309,518402,-4488,-2.482342074,10.4,0,고구마켓 주식회사,0
2024-12-03,176500,180034,175736,178506,423203,2006,1.136543909,3.5,0,고구마켓 주식회사,0
2024-12-04,173825,177646,173634,174781,763971,956,0.549978427,5,0,고구마켓 주식회사,0
2024-12-05,175640,178123,172297,172871,445277,-2769,-1.576520155,6.3,2.1,고구마켓 주식회사,1.131402111
2024-12-06,172870,174207,168954,172011,629219,-859,-0.496905189,5.5,0.4,고구마켓 주식회사,0.336472237
2024-12-09,167140,171342,166853,167236,740089,96,0.057436879,3.7,0.12,고구마켓 주식회사,0.113328685
2024-12-10,168860,173922,168860,173922,459805,5062,2.997749615,4.9,0.24,고구마켓 주식회사,0.21511138
2024-12-11,173921,176595,172966,175927,365347,2006,1.153397232,3.6,0.36,고구마켓 주식회사,0.3074847
2024-12-12,176500,176691,175258,176596,688360,96,0.054390935,2,0.48,고구마켓 주식회사,0.392042088
2024-12-13,177264,187292,177264,184714,1106717,7450,4.202771008,1,0.6,고구마켓 주식회사,0.470003629
2024-12-16,189107,189393,185955,187388,1144690,-1719,-0.909009185,4.4,1.1,고구마켓 주식회사,0.741937345
2024-12-17,187197,187197,183376,184523,1057911,-2674,-1.428441695,3.5,0.825,고구마켓 주식회사,0.601579987
2024-12-18,184523,190922,184523,190254,7090426,5731,3.105845884,-0.7,0.55,고구마켓 주식회사,0.438254931
2024-12-19,185382,187674,183376,183759,712409,-1623,-0.87548953,-1.3,0.275,고구마켓 주식회사,0.242946179
2024-12-20,182517,184332,181085,183855,435844,1338,0.733082398,2.5,0,고구마켓 주식회사,0
2024-12-23,184618,185765,183854,185192,297807,574,0.310912262,1,0,고구마켓 주식회사,0
2024-12-24,185191,185955,183567,185669,377351,478,0.258111895,1.5,0.133333333,고구마켓 주식회사,0.125163143
2024-12-26,185669,187484,181944,182900,639601,-2769,-1.491363663,2.8,0.4,고구마켓 주식회사,0.336472237
2024-12-27,183200,185800,176800,180400,571954,-2800,-1.528384279,0.4,1.7,고구마켓 주식회사,0.993251773
2024-12-30,180000,190200,179800,187500,531670,7500,4.166666667,7.2,0.05,고구마켓 주식회사,0.048790164
2024-01-02,62300,63000,62200,63000,1305797,700,1.123595506,5.4,0,토마토탈 주식회사,0
